,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
477,506.0,406.003845,34.887471887400004,0.40600384500000003,477.0,0.09723226999999995,0.21038148000388207,0.12633604230281123
491,506.0,405.243561,34.887471887400004,0.40524356100000003,491.0,0.09799255399999995,0.21202650663077527,0.12732389614584244
505,506.0,404.722107,34.887471887400004,0.404722107,505.0,0.09851400799999999,0.21315477674391725,0.12800143287930527
519,506.0,404.385345,34.887471887400004,0.404385345,519.0,0.09885076999999998,0.21388342874359872,0.128438995205866
533,506.0,404.118103,34.887471887400004,0.404118103,533.0,0.09911801199999998,0.21446166030683586,0.1287862286564178
547,506.0,403.506714,34.887471887400004,0.403506714,547.0,0.099729401,0.21578452279557644,0.1295806199276231
561,506.0,403.113953,34.887471887400004,0.40311395299999997,561.0,0.10012216200000001,0.21663433984158195,0.13009094299537516
575,506.0,402.667847,34.887471887400004,0.402667847,575.0,0.10056826799999996,0.2175995794736362,0.13067057840332696
589,506.0,402.020966,34.887471887400004,0.402020966,589.0,0.101215149,0.21899923600913004,0.13151108521635202
603,506.0,401.82962,34.887471887400004,0.40182962,603.0,0.10140649499999999,0.21941325138358153,0.13175970531285364
617,506.0,401.566864,34.887471887400004,0.401566864,617.0,0.10166925099999996,0.21998177658781565,0.13210111000423147
631,506.0,401.296478,34.887471887400004,0.401296478,631.0,0.10193963699999997,0.2205668108244156,0.13245242852362926
647,506.0,401.219086,34.887471887400004,0.401219086,647.0,0.10201702899999998,0.22073426390866904,0.13255298566361892
661,506.0,400.944305,34.887471887400004,0.400944305,661.0,0.10229180999999998,0.2213288076075557,0.13291001470387487
675,506.0,400.825165,34.887471887400004,0.40082516500000004,675.0,0.10241094999999995,0.22158659084688204,0.13306481594506725
689,506.0,400.496002,34.887471887400004,0.40049600199999996,689.0,0.10274011300000002,0.22229880088890344,0.13349250472259483
703,506.0,400.094788,34.887471887400004,0.400094788,703.0,0.103141327,0.22316690769252195,0.13401381096049791
