,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
120,506.0,423.145996,34.887471887400004,0.423145996,120.0,0.08009011899999996,0.17329100481668314,0.10406286577512985
126,506.0,421.710907,34.887471887400004,0.421710907,126.0,0.08152520799999996,0.17639610714286857,0.10592750870295925
132,506.0,420.141968,34.887471887400004,0.42014196800000003,132.0,0.08309414699999995,0.17979082073801358,0.10796606590083739
138,506.0,419.019745,34.887471887400004,0.419019745,138.0,0.08421636999999998,0.1822189748439951,0.10942419510425094
144,506.0,417.771179,34.887471887400004,0.41777117900000005,144.0,0.08546493599999994,0.18492049732169225,0.11104648456631787
150,506.0,416.633575,34.887471887400004,0.41663357500000003,150.0,0.08660253999999995,0.18738193130012695,0.11252459864375171
156,506.0,415.792053,34.887471887400004,0.415792053,156.0,0.08744406199999999,0.1892027326021621,0.1136180068197693
162,506.0,415.014496,34.887471887400004,0.415014496,162.0,0.08822161899999997,0.19088513282224723,0.11462830385433248
168,506.0,414.372864,34.887471887400004,0.414372864,168.0,0.08886325099999998,0.1922734320955014,0.11546199052538149
174,506.0,413.830322,34.887471887400004,0.41383032200000003,174.0,0.08940579299999996,0.19344733031801806,0.11616692736438615
180,506.0,413.438904,34.887471887400004,0.413438904,180.0,0.08979721099999999,0.1942942415146832,0.11667550544248807
186,506.0,413.008209,34.887471887400004,0.413008209,186.0,0.09022790599999997,0.1952261363632789,0.11723511699675504
192,506.0,412.589813,34.887471887400004,0.412589813,192.0,0.09064630199999996,0.1961314198633731,0.11777874818787427
198,506.0,412.277435,34.887471887400004,0.412277435,198.0,0.09095867999999996,0.19680731219788974,0.11818462784307998
204,506.0,411.820435,34.887471887400004,0.411820435,204.0,0.09141568,0.19779612317969428,0.11877841806655609
210,506.0,410.952606,34.887471887400004,0.410952606,210.0,0.09228350899999999,0.19967384494233836,0.11990600751042699
216,506.0,410.197632,34.887471887400004,0.41019763200000003,216.0,0.09303848299999995,0.20130738232128098,0.1208869619528309
222,506.0,409.970245,34.887471887400004,0.409970245,222.0,0.09326586999999997,0.20179937961388403,0.12118241091901376
228,506.0,409.900513,34.887471887400004,0.409900513,228.0,0.09333560199999996,0.20195025875476624,0.12127301525131885
234,506.0,409.863403,34.887471887400004,0.409863403,234.0,0.09337271199999997,0.20203055366840908,0.12132123309638057
240,506.0,409.847809,34.887471887400004,0.409847809,240.0,0.09338830599999998,0.20206429440900048,0.12134149472601928
246,506.0,409.847565,34.887471887400004,0.40984756499999997,246.0,0.09338855000000001,0.20206482235184423,0.12134181176062442
252,506.0,409.843597,34.887471887400004,0.409843597,252.0,0.09339251799999998,0.20207340791415443,0.1213469674709236
259,506.0,409.830017,34.887471887400004,0.409830017,259.0,0.09340609799999999,0.20210279096258532,0.12136461226574814
265,506.0,409.801056,34.887471887400004,0.40980105600000005,265.0,0.09343505899999993,0.2021654538834693,0.1214022419345929
271,506.0,409.729065,34.887471887400004,0.409729065,271.0,0.09350704999999998,0.20232122082305604,0.12149578143563951
277,506.0,409.69281,34.887471887400004,0.40969281,277.0,0.09354330499999997,0.20239966577304574,0.1215428883602612
283,506.0,409.679474,34.887471887400004,0.40967947400000004,283.0,0.09355664099999994,0.2024285208786329,0.1215602161204806
289,506.0,409.599762,34.887471887400004,0.40959976200000003,289.0,0.09363635299999995,0.20260099374730162,0.12166378768786294
295,506.0,409.508392,34.887471887400004,0.409508392,295.0,0.09372772299999999,0.2027986910326572,0.12178250675289364
301,506.0,409.494019,34.887471887400004,0.409494019,301.0,0.093742096,0.20282978989533004,0.12180118191018471
307,506.0,409.478119,34.887471887400004,0.409478119,307.0,0.09375799600000001,0.20286419272817618,0.12182184113240194
313,506.0,409.474609,34.887471887400004,0.409474609,313.0,0.093761506,0.20287178731580446,0.12182640175315554
319,506.0,409.470184,34.887471887400004,0.409470184,319.0,0.09376593099999997,0.2028813616890965,0.12183215125367823
325,506.0,409.456604,34.887471887400004,0.40945660400000006,325.0,0.09377951099999993,0.20291074473752727,0.12184979604850268
331,506.0,409.378571,34.887471887400004,0.409378571,331.0,0.09385754399999996,0.20307958475359553,0.12195118605399181
337,506.0,409.358124,34.887471887400004,0.409358124,337.0,0.093877991,0.20312382593115566,0.12197775329403433
343,506.0,409.334808,34.887471887400004,0.409334808,343.0,0.09390130699999999,0.2031742747645293,0.12200804828933098
