,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
108,423.800018,106.917587,29.219982636076317,0.106917587,540.0,0.297716812,0.4174048400131115,0.15039330132382817
111,423.800018,106.890724,29.219982636076317,0.106890724,555.0,0.297743675,0.41744250246872483,0.1504068713174954
114,423.800018,106.887779,29.219982636076317,0.106887779,570.0,0.29774661999999996,0.4174466314167865,0.15040835900060412
117,423.800018,106.887741,29.219982636076317,0.10688774100000001,585.0,0.297746658,0.4174466846935357,0.1504083781965152
120,423.800018,106.887741,29.219982636076317,0.10688774100000001,600.0,0.297746658,0.4174466846935357,0.1504083781965152
123,423.800018,106.887016,29.219982636076317,0.106887016,615.0,0.297747383,0.4174477011578293,0.1504087444342924
126,424.399994,106.886574,29.261349525074564,0.106886574,630.0,0.29774782499999997,0.41803930471820017,0.15062190251007396
129,424.600006,106.886574,29.27513986702544,0.106886574,645.0,0.29774782499999997,0.41823631904100267,0.1506928878738599
132,424.600006,106.886574,29.27513986702544,0.106886574,660.0,0.29774782499999997,0.41823631904100267,0.1506928878738599
135,425.200012,106.886574,29.316508824450878,0.106886574,675.0,0.29774782499999997,0.41882733245903475,0.150905833318052
138,425.200012,106.886574,29.316508824450878,0.106886574,690.0,0.29774782499999997,0.41882733245903475,0.150905833318052
141,425.200012,106.886574,29.316508824450878,0.106886574,705.0,0.29774782499999997,0.41882733245903475,0.150905833318052
144,425.399994,106.886574,29.330297097974565,0.106886574,720.0,0.29774782499999997,0.41902431723146183,0.1509768080346722
147,425.200012,106.886574,29.316508824450878,0.106886574,735.0,0.29774782499999997,0.41882733245903475,0.150905833318052
150,425.200012,106.886574,29.316508824450878,0.106886574,750.0,0.29774782499999997,0.41882733245903475,0.150905833318052
153,425.200012,106.886574,29.316508824450878,0.106886574,765.0,0.29774782499999997,0.41882733245903475,0.150905833318052
156,425.0,106.886574,29.3027184825,0.106886574,780.0,0.29774782499999997,0.4186303181362322,0.15083484795426602
159,425.0,106.886574,29.3027184825,0.106886574,795.0,0.29774782499999997,0.4186303181362322,0.15083484795426602
